image,link,measure,name,old_price,price,sale
https://d3r3h30p75xj6a.cloudfront.net/artikelen/18235_1_385889_638084340063236693.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/brood-beleg-koek/vers-klein-gebak/tompouce/31069,4 stuks,Tompouce,,3.49,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/80143_1_328158_638098137094432487.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/brood-beleg-koek/vers-klein-gebak/pure-ambacht-roombroodjes/20809,2 stuks,Pure Ambacht Roombroodjes,,2.79,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/146845_1_446193_638097210215066800.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/brood-beleg-koek/vers-klein-gebak/pure-ambacht-vanille-roomvlaai-half/84403,Per stuk,Pure Ambacht Vanille roomvlaai half,,4.99,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/141842_1_443238_638084349720694619.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/brood-beleg-koek/vers-klein-gebak/1-de-beste-macarons/82188,12 Stuks,1 de Beste Macarons,,3.89,Actie
https://d3r3h30p75xj6a.cloudfront.net/artikelen/47224_1_245485_638109342099102900.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/brood-beleg-koek/vers-klein-gebak/pure-ambacht-aarbeientaartje-%C3%B8-22-cm/14802,Per stuk,Pure Ambacht Aarbeientaartje ø 22 cm.,,6.99,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/66183_1_412325_638077122081665324.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/brood-beleg-koek/vers-klein-gebak/pure-ambacht-mokkaschnitt/58620,350 g,Pure Ambacht Mokkaschnitt,,5.99,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/132201_1_443249_638084340092462983.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/brood-beleg-koek/vers-klein-gebak/pure-ambacht-chocolade-taartje-18-cm/81799,Per stuk,Pure Ambacht Chocolade taartje 18 cm,,5.99,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/132161_1_441105_638010609930413436.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/brood-beleg-koek/vers-klein-gebak/pure-ambacht-gebakjes-speculoos/80620,2 stuks,Pure Ambacht Gebakjes speculoos,,3.49,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/9536_1_20557_637219242446240022.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/optimel-vanillevla-0-vet/1898,1 liter,Optimel Vanillevla 0% vet,,1.87,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/109942_1_344056_637831350045341182.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/melkunie-chocoladevla/6276,500 ml,Melkunie Chocoladevla,,1.09,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/13819_1_12068_637826184039627709.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/mona-vlaflip-vanillevla-yoghurt-2-stuks/436,380 g,"Mona Vlaflip vanillevla yoghurt, 2 stuks",,99.0,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/134497_1_442368_638004106012440209.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/melkunie-dubbelvla-chocolade-vanille/81687,1 liter,Melkunie Dubbelvla chocolade vanille,,2.09,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/13844_1_389735_637187383691516395.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/mona-vanille-chocolade-slagroom-2-stuks/34965,270 g,Mona Vanille chocolade slagroom 2 stuks,,1.04,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/131317_1_442369_638004034216784003.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/melkunie-vla-stroopwafel/81688,1 liter,Melkunie Vla stroopwafel,,2.19,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/24206_1_343992_637171822136911694.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/melkunie-vanillevla/6263,500 ml,Melkunie Vanillevla,,1.29,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/24219_1_386641_637187382519640508.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/melkunie-hopjesvla/32209,500 ml,Melkunie Hopjesvla,,1.29,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/104083_1_406696_637798266255879536.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/melkan-vla-vanille-0-vet/53444,1 liter,Melkan Vla vanille 0% vet,,1.39,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/81325_1_427457_638030007666040101.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/melkan-vla-chocolade/72096,1 liter,Melkan Vla chocolade,,1.49,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/70186_1_418506_637528654219511087.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/melkan-dubbelvla-vanille-aardbei/64503,1 liter,Melkan Dubbelvla vanille-aardbei,,1.19,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/11480_1_143334_637665381795453278.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/campina-zacht-luchtig-framboos/19778,1 liter,Campina Zacht & luchtig framboos,,2.15,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/28032_1_143330_637665381787969761.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/campina-zacht-luchtig-vanille/19777,1 liter,Campina Zacht & Luchtig vanille,,2.15,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/70188_1_418509_637528654259662482.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/melkan-dubbelvla-vanille-karamel/64783,1 liter,Melkan Dubbelvla vanille-karamel,,1.49,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/71016_1_143338_637560018383689664.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/campina-vlaflip-vanille/1335,1 liter,Campina Vlaflip vanille,,2.25,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/11605_1_143341_637560018390292210.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/campina-vlaflip-framboos/1336,1 liter,Campina Vlaflip framboos,,1.99,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/81326_1_427458_637737769542756991.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/melkan-dubbelvla-vanille-chocolade/72335,1 liter,Melkan Dubbelvla vanille-chocolade,,1.49,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/126961_1_143285_637938333010676420.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/campina-slagroomvla-vanille/1331,1 liter,Campina Slagroomvla vanille,,2.29,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/71011_1_143254_637560018370430394.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/campina-boerenland-vanille-vla/1328,1 liter,Campina Boerenland vanille vla,,1.69,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/146461_1_408341_638092197628257613.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/melkan-melk-halfvol/55049,6 x 200 ml,Melkan Melk halfvol,,1.69,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/71017_1_143350_637560018396516652.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/campina-dubbelvlaflip-chocolade-vanille/1337,1 liter,Campina Dubbelvlaflip chocolade vanille,,2.24,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/75590_1_417159_637983405861393224.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/melkan-houdbare-halfvolle-melk/63284,500 ml,Melkan Houdbare halfvolle melk,,75.0,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/62891_1_416237_637983405869770687.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/melkan-houdbare-melk-vol/63297,6 x 200 ml,Melkan Houdbare melk vol,,2.19,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/92567_1_424283_637983405904735822.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/melkan-chocolademelk-halfvol/69168,6 x 200 ml,Melkan Chocolademelk halfvol,,1.88,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/43907_1_412210_637828693924007391.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/vla/1-de-beste-vla-vanillesmaak/59136,1 liter,1 de Beste Vla vanillesmaak,,1.09,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/92568_1_424316_637983405913912255.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/melkan-chocolademelk-vol/69169,6 x 200 ml,Melkan Chocolademelk vol,,2.19,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/5965_1_375632_637983405767113217.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/inex-magere-chocolademelk/18257,1 liter,Inex Magere chocolademelk,,1.09,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/2766_1_359311_637983405745433080.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/chocomel-chocolademelk-vol/8914,1.5 liter,Chocomel Chocolademelk vol,,2.66,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/104966_1_356396_637983405709270491.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/chocomel-chocolademelk-vol/8463,6 x 250 ml,Chocomel Chocolademelk vol,,4.57,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/8993_1_108600_637983405664494576.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/chocomel-chocolademelk-vol/195,6 x 200 ml,Chocomel Chocolademelk vol,,2.99,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/2076_1_359310_637983405737337750.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/chocomel-chocolademelk-halfvol/8913,1.5 liter,Chocomel Chocolademelk halfvol,,2.75,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/132827_1_429619_637988463076853846.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/golden-globe-ice-coffee/73738,1 liter,Golden Globe Ice coffee,,1.19,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/146671_1_443002_638112754386111280.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/chocomel-chocolademelk-plantaardig/82317,1 liter,Chocomel Chocolademelk plantaardig,,2.89,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/12664_1_108597_637983405654420227.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/chocomel-chocolademelk-halfvol/194,6 x 200 ml,Chocomel Chocolademelk halfvol,,3.25,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/77029_1_398716_637983405808452254.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/biologisch-dranken-sap-koffie-thee/bio-biologische-houdbare-halfvolle-melk/45241,1 liter,Bio+ Biologische houdbare halfvolle melk,,1.39,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/110501_1_344230_637983405703608726.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/arla-houdbare-lactose-vrije-halfvolle-melk/6297,1 liter,Arla Houdbare lactose vrije halfvolle melk,,1.95,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/136590_1_440632_638018596263748677.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/1-de-beste-houdbare-volle-melk-6-stuks/80262,6 liter,1 de Beste Houdbare volle melk 6 stuks,,6.79,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/121662_1_422544_637983414688389075.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/1-de-beste-volle-chocolademelk/68377,1 liter,1 de Beste Volle chocolademelk,,1.14,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/136588_1_440628_638018596246322714.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/1-de-beste-houdbare-halfvolle-melk-6-stuks/80260,6 liter,1 de Beste Houdbare halfvolle melk 6 stuks,,6.79,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/136589_1_440630_638018596255276690.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/1-de-beste-houdbare-magere-melk-6-stuks/80261,6 liter,1 de Beste Houdbare magere melk 6 stuks,,6.39,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/121661_1_422543_638100657373614220.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/1-de-beste-chocolademelk-halfvol/68376,1 liter,1 de Beste Chocolademelk halfvol,,99.0,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/93958_1_332111_638112762228118278.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/chocomel-chocolademelk-vol/5202,1 liter,Chocomel Chocolademelk vol,1.79,1.19,ACTIE
